,UUID,FILE,QUOTE_TRANSCRIPTION,start,end,TYPE,TAGS,COMMENTS,GROUP_ID
0,a898efbf-edda-455c-9eda-08da4bf8ac2c,Tite_entries_entry-434.0_nero-cvii.txt,James Ussher,1293,1304,PERSON,Uncertain Person,,a6fc1e5c-3cd2-4601-9149-3b6bca102e1c
1,a6fc1e5c-3cd2-4601-9149-3b6bca102e1c,Tite_entries_entry-434.0_nero-cvii.txt,"James Ussher (or William Laud or George Abbot),        ? €.1634 (135.1: (2) this, (1) Jul. D.ITI or Faust. B.IV, or        (2) Claud, E.IV)",1293,1431,,Loan,,a6fc1e5c-3cd2-4601-9149-3b6bca102e1c
2,775d3a7c-eb8f-4186-9606-cbc3d82864d0,Tite_entries_entry-434.0_nero-cvii.txt,William Laud,1310,1321,PERSON,Uncertain Person,,a6fc1e5c-3cd2-4601-9149-3b6bca102e1c
3,0d02f94a-f830-4f02-9e1e-91d85fd5d71e,Tite_entries_entry-434.0_nero-cvii.txt,George Abbot,1326,1337,PERSON,Uncertain Person,,a6fc1e5c-3cd2-4601-9149-3b6bca102e1c
4,3ff2ca79-8b7e-4eb9-8cc4-448e83bcd04d,Tite_entries_entry-434.0_nero-cvii.txt,? €.1634,1348,1355,,Date|Uncertain Date,,a6fc1e5c-3cd2-4601-9149-3b6bca102e1c
5,e0208120-2df2-4f59-9b24-059a41afd6c1,Tite_entries_entry-434.0_nero-cvii.txt,135.1,1358,1362,,List Reference,,a6fc1e5c-3cd2-4601-9149-3b6bca102e1c
6,f4c301a8-1a9b-4263-8d69-032f95c6ed51,Tite_entries_entry-434.0_nero-cvii.txt,"(2) this, (1) Jul. D.ITI or Faust. B.IV, or        (2) Claud, E.IV",1365,1430,,Uncertain Book,,a6fc1e5c-3cd2-4601-9149-3b6bca102e1c
7,0815d285-e54f-4ada-9029-1f343ad35fb6,Tite_entries_entry-434.0_nero-cvii.txt,"Ussher (or Laud or Abbot), ? ¢.1634       (135.2: (2) this or Claud. E.IV, or (1) Jul. D.III or Faust,        B.IV);",1434,1549,,Loan,,0815d285-e54f-4ada-9029-1f343ad35fb6
8,2dfc7a5e-c216-43fa-8878-29f94a180adc,Tite_entries_entry-434.0_nero-cvii.txt,Ussher,1434,1439,PERSON,Uncertain Person,,0815d285-e54f-4ada-9029-1f343ad35fb6
9,20e98579-f42e-4918-89e9-b316ea50158c,Tite_entries_entry-434.0_nero-cvii.txt,Laud,1445,1448,PERSON,Uncertain Person,,0815d285-e54f-4ada-9029-1f343ad35fb6
10,0166f690-88bf-4e70-810f-1eb1c82ceaf1,Tite_entries_entry-434.0_nero-cvii.txt,Abbot,1453,1457,PERSON,Uncertain Person,,0815d285-e54f-4ada-9029-1f343ad35fb6
11,18f45e0e-f77e-4f0f-8ace-dc99a9dc9539,Tite_entries_entry-434.0_nero-cvii.txt,? ¢.1634,1461,1468,,Date|Uncertain Date,,0815d285-e54f-4ada-9029-1f343ad35fb6
12,be751e33-1bb3-41db-86e3-e89cb45f5329,Tite_entries_entry-434.0_nero-cvii.txt,135.2,1477,1481,,List Reference,,0815d285-e54f-4ada-9029-1f343ad35fb6
13,5062503a-6700-4db9-adcc-a0aea0120a12,Tite_entries_entry-434.0_nero-cvii.txt,"(2) this or Claud. E.IV, or (1) Jul. D.III or Faust,        B.IV",1484,1547,,Uncertain Book,,0815d285-e54f-4ada-9029-1f343ad35fb6
14,7abeea95-4919-4ba4-bd0b-748dd3f3146f,Tite_entries_entry-434.0_nero-cvii.txt,Godfrey Wildbore,1551,1566,PERSON,,,f58c3404-8dd6-40ee-9d76-376080c76161
15,f58c3404-8dd6-40ee-9d76-376080c76161,Tite_entries_entry-434.0_nero-cvii.txt,"Godfrey Wildbore, 1656 or 1657 (232.3).",1551,1589,,Loan,,f58c3404-8dd6-40ee-9d76-376080c76161
16,907b3f26-29a6-48fd-b779-2539c48e5d4a,Tite_entries_entry-434.0_nero-cvii.txt,1656 or 1657,1569,1580,,Date,,f58c3404-8dd6-40ee-9d76-376080c76161
17,461656cb-f672-42aa-bedf-bb7d5dc12c45,Tite_entries_entry-434.0_nero-cvii.txt,(232.3,1582,1587,,List Reference,,f58c3404-8dd6-40ee-9d76-376080c76161
18,55331a84-2402-45a8-96ae-8efaf9eb7821,Tite_entries_entry-436.0_nero-cix.txt,"John Selden, c.1638 (162: this, Claud. E.VI or Nero                   EVD);",1161,1235,,Loan,,55331a84-2402-45a8-96ae-8efaf9eb7821
19,7fdde4fe-8c33-4208-bf9a-571ea2889d87,Tite_entries_entry-436.0_nero-cix.txt,John Selden,1161,1171,PERSON,,,55331a84-2402-45a8-96ae-8efaf9eb7821
20,7bb78b6d-0b6d-4961-bb86-2f67c37c3079,Tite_entries_entry-436.0_nero-cix.txt,c.1638,1174,1179,,Date,,55331a84-2402-45a8-96ae-8efaf9eb7821
21,96dfc10e-b403-44be-9ad3-ea2efd13c948,Tite_entries_entry-436.0_nero-cix.txt,162,1182,1184,,List Reference,,55331a84-2402-45a8-96ae-8efaf9eb7821
22,42b858fe-4050-44a6-9274-963c6cb74986,Tite_entries_entry-436.0_nero-cix.txt,"this, Claud. E.VI or Nero                   EVD",1187,1233,,Uncertain Book,,55331a84-2402-45a8-96ae-8efaf9eb7821
23,88ef216e-c282-411e-abd4-e33e69e6aab7,Tite_entries_entry-436.0_nero-cix.txt,Selden,1237,1242,PERSON,,,62dacbb1-719b-46f9-9ac4-c077268f36ef
24,62dacbb1-719b-46f9-9ac4-c077268f36ef,Tite_entries_entry-436.0_nero-cix.txt,"Selden, c.1638 (163.22: this, Claud. E.VI or Nero                   EVD.",1237,1308,,Loan,,62dacbb1-719b-46f9-9ac4-c077268f36ef
25,848ff4f7-43c7-4757-a531-5b8fd308decb,Tite_entries_entry-436.0_nero-cix.txt,c.1638,1245,1250,,Date,,62dacbb1-719b-46f9-9ac4-c077268f36ef
26,b8d35480-9a59-401b-bfb9-9e6ed26a1201,Tite_entries_entry-436.0_nero-cix.txt,163.22,1253,1258,,List Reference,,62dacbb1-719b-46f9-9ac4-c077268f36ef
27,130cbd3a-d1db-4b04-81a2-523783b6ba4e,Tite_entries_entry-436.0_nero-cix.txt,"this, Claud. E.VI or Nero                   EVD",1261,1307,,Uncertain Book,,62dacbb1-719b-46f9-9ac4-c077268f36ef
28,4657a2af-bd12-440d-88f8-d3a44941b8d6,Tite_entries_entry-425.0_nero-ciii.txt,Patrick Young,774,786,PERSON,,,fe353b7f-81ea-4cb3-85fd-ec3b2aef48cc
29,fe353b7f-81ea-4cb3-85fd-ec3b2aef48cc,Tite_entries_entry-425.0_nero-ciii.txt,"Patrick Young, 1621 (2.31).",774,800,,Loan,,fe353b7f-81ea-4cb3-85fd-ec3b2aef48cc
30,5ec31f82-ac0e-4b34-a91b-7cfd2cc600a9,Tite_entries_entry-425.0_nero-ciii.txt,1621,789,792,,Date,,fe353b7f-81ea-4cb3-85fd-ec3b2aef48cc
31,dfb1bc3e-4bef-421d-9714-2a2f45051729,Tite_entries_entry-425.0_nero-ciii.txt,2.31,795,798,,List Reference,,fe353b7f-81ea-4cb3-85fd-ec3b2aef48cc
32,836b7bd6-95aa-4cd9-b3b8-d4250947e788,Tite_entries_entry-428.0_nero-civ.txt,Lord  William  Howard,180,200,PERSON,,,05898d05-a659-4abb-9a5b-c89ccb6c6af9
33,05898d05-a659-4abb-9a5b-c89ccb6c6af9,Tite_entries_entry-428.0_nero-civ.txt,"Lord  William  Howard,  1621 (2.58: this or Tib.               C.V1)",180,247,,Loan,,05898d05-a659-4abb-9a5b-c89ccb6c6af9
34,67a67657-1314-426e-95b7-eaed1049a625,Tite_entries_entry-428.0_nero-civ.txt,1621,204,207,,Date,,05898d05-a659-4abb-9a5b-c89ccb6c6af9
35,61100c70-1164-43ee-8bde-7bdac28999d9,Tite_entries_entry-428.0_nero-civ.txt,2.58,210,213,,List Reference,,05898d05-a659-4abb-9a5b-c89ccb6c6af9
36,27de0367-7a16-4465-bf82-405d123812e9,Tite_entries_entry-428.0_nero-civ.txt,this or Tib.               C.V1,216,246,,Uncertain Book,,05898d05-a659-4abb-9a5b-c89ccb6c6af9
37,7dedd37c-15a1-4b3f-b013-903fd9c365b4,Tite_entries_entry-428.0_nero-civ.txt,"James Ussher (this is probably one of the psalters               in the Gallican version that Ussher borrowed in 1625:               Jul. C.III, fol. 383. For his collation, see Bodl., MS Add.               A.91 (SC 27719), fol. 111.).",250,484,,Loan,,7dedd37c-15a1-4b3f-b013-903fd9c365b4
38,9b346a2e-d6b3-4e21-b9a8-91070cbd7af6,Tite_entries_entry-428.0_nero-civ.txt,James Ussher,250,261,PERSON,,,7dedd37c-15a1-4b3f-b013-903fd9c365b4
